电影名,导演,上映年份,类型,评分,评语,豆瓣链接,来源豆列,,,,同导演的非女性主义代表作,评分2
自闭历程 Temple Grandin,,2010,,8.9,,https://movie.douban.com/subject/3236904/,女性电影TOP300 (ID: 161498552),,,,不惧风暴,6.7
假小子 Tomboy,,2011,,8,,https://movie.douban.com/subject/6006087/,女性电影TOP300 (ID: 161498552),,,,燃烧女子的肖像,8.8
黑天鹅 Black Swan,,2010,,8.6,,https://movie.douban.com/subject/1978709/,女性电影TOP300 (ID: 161498552),,,,摔角王,8.3
乐土 Joyland,,2022,,8.6,,https://movie.douban.com/subject/35870056/,女性电影TOP300 (ID: 161498552),,,,,
我们俩,,2005,,8.8,,https://movie.douban.com/subject/1756073/,女性电影TOP300 (ID: 161498552),,,,世界上最疼我的那个人去了,8.4
相爱相亲,,2017,,8.3,,https://movie.douban.com/subject/26773744/,女性电影TOP300 (ID: 161498552),,,,念念,7
将来的事 L'avenir,,2016,,8.2,,https://movie.douban.com/subject/26215216/,女性电影TOP300 (ID: 161498552),,,,宽恕与原谅,7
珍爱 Precious,,2009,,8.1,,https://movie.douban.com/subject/3011072/,女性电影TOP300 (ID: 161498552),,,,白宫管家,7.5
代孕者 House of Surrogates,,2013,,8.3,,https://movie.douban.com/subject/26966750/,女性电影TOP300 (ID: 161498552),,,,,
我们在这里,,2015,,9.2,,https://movie.douban.com/subject/26615698/,女性电影TOP300 (ID: 161498552),,,,,
一名母亲的三重死亡 Las tres muertes de Marisela Escobedo,,2020,,8.2,,https://movie.douban.com/subject/35224988/,女性电影TOP300 (ID: 161498552),,,,,
吹哨人：美国体操队性侵丑闻追踪 Athlete A,,2020,,8.5,,https://movie.douban.com/subject/34994827/,女性电影TOP300 (ID: 161498552),,,,《难以忽视的真相2》,8.2
千寻小姐 ちひろさん,,2023,,7.8,,https://movie.douban.com/subject/35791966/,女性电影TOP300 (ID: 161498552),,,,小小夜曲 アイネクライネ ナハトムジーク?,7.4
炙热 Parched,,2015,,8.3,,https://movie.douban.com/subject/25822430/,女性电影TOP300 (ID: 161498552),,,,《邪密满屋：印度家族集体死亡案》,6.6
黑皮书 Zwartboek,,2006,,8.4,,https://movie.douban.com/subject/1858802/,女性电影TOP300 (ID: 161498552),,,,机器战警 RoboCop,7.8
重返·狼群,,2017,,8.3,,https://movie.douban.com/subject/26920269/,女性电影TOP300 (ID: 161498552),,,,,
送我上青云,,2019,,7,,https://movie.douban.com/subject/27180759/,女性电影TOP300 (ID: 161498552),,,,我的阿勒泰,8.9
我仍在此 Ainda estou aqui,,2024,,7.9,,https://movie.douban.com/subject/35512487/,女性电影TOP300 (ID: 161498552),,,,中央车站 Central do Brasil?,8.7
柯莱特 Colette,,2018,,7.6,,https://movie.douban.com/subject/26721646/,女性电影TOP300 (ID: 161498552),,,,依然爱丽丝 Still Alice,8
亲切的金子 ??? ???,,2005,,7.6,,https://movie.douban.com/subject/1412579/,女性电影TOP300 (ID: 161498552),,,,老男孩 ????,8.2
玫瑰人生 La M?me,,2007,,8.3,,https://movie.douban.com/subject/1898223/,女性电影TOP300 (ID: 161498552),,,,摇滚莫扎特 Mozart L'Opéra Rock,9.3
推翻罗诉韦德案 Reversing Roe,,2018,,8.7,,https://movie.douban.com/subject/30325822/,女性电影TOP300 (ID: 161498552),,,,马拉松：爱国者日爆炸案 Marathon: The Patriots Day Bombing,8.5
世界上最糟糕的人 Verdens verste menneske,,2021,,7.9,,https://movie.douban.com/subject/34447553/,女性电影TOP300 (ID: 161498552),,,,"奥斯陆，8月31日 Oslo, 31. august",7.6
被投石处死的索拉雅·M The Stoning of Soraya M.,,2008,,8.3,,https://movie.douban.com/subject/3263472/,女性电影TOP300 (ID: 161498552),,,,耶稣基督：走出埃及 The Young Messiah,6.7
早间主播 Morning Glory,,2010,,7.6,,https://movie.douban.com/subject/3392569/,女性电影TOP300 (ID: 161498552),,,,变线人生 Changing Lanes,6.8
摇摇晃晃的人间,,2016,,7.9,,https://movie.douban.com/subject/26324232/,女性电影TOP300 (ID: 161498552),,,,活着,8.2
迷雾中的孩子 Nh?ng ??a tr? trong s??ng,,2021,,8.7,,https://movie.douban.com/subject/35652404/,女性电影TOP300 (ID: 161498552),,,,,
阿黛尔的生活 La Vie d'Adèle,,2013,,8.4,,https://movie.douban.com/subject/10535568/,女性电影TOP300 (ID: 161498552),,,,谷子和鲻鱼 La Graine et le mulet?,8
换子疑云 Changeling,,2008,,8.4,,https://movie.douban.com/subject/2028666/,女性电影TOP300 (ID: 161498552),,,,不可饶恕 Unforgiven,8.5
桃姐,,2011,,8.4,,https://movie.douban.com/subject/5977835/,女性电影TOP300 (ID: 161498552),,,,投奔怒海,8.5
密阳 ??,,2007,,8,,https://movie.douban.com/subject/1853770/,女性电影TOP300 (ID: 161498552),,,,绿鱼 ?????,7.8
性的代价 The Price of Sex,,2011,,8.7,,https://movie.douban.com/subject/6558328/,女性电影TOP300 (ID: 161498552),,,,,
奥勒法的女儿们 Les filles d'Olfa,,2023,,7.8,,https://movie.douban.com/subject/35242813/,女性电影TOP300 (ID: 161498552),,,,美女与猎犬,7.5
