书名,书籍豆瓣ID,评论内容,评论评分,评论时间,有用数
明亮的夜晚,36457094,“可是，为什么我愤怒的箭头总是指向妈妈呢？为什么不是向着那些让妈妈选择屈服的人呢？如果我在和妈妈一样的环境中长大，我肯定会做出和她不同的选择吗？我能像自己想的那般理直气壮吗？我试着把自己放到妈妈的位置上，结果发现自己根本无法回答这个问题。” 对啊，有时候自己的愤怒来的太理所当然了。比起小时候是有成长的，对母亲多了一份理解和尊重，不过在她试图想禁锢我的时候仍然感到崩溃，情绪耗竭。,user-stars,,0
明亮的夜晚,36457094,“世上最重的罪，就是作为女人出生，作为女人而活。”,user-stars,,0
明亮的夜晚,36457094,人类文明的历史有多长，对“弑父”的研究就有多久。与之相反的是，女性代际之间的关系却一直未被重视，或是潦草地扫进两种模式里去。其一是伟大的牺牲与必然的孝顺，当然这也可以是母子，而且实际上母子关系在这方面则更纯粹。其二为以性别划分的扭曲变异了的雌竞，而我更愿意相信这部分来自小样本曲解。这部小说最好的是非常真实地讲述了女性代际之间的情感关系，这并非是来自男性作者的想当然的幻想与揣测，是女性视角下的，有别于“弑父”的，背负着更多道德枷锁的探索与挣扎。,user-stars,,0
明亮的夜晚,36457094,情感上不如秋园来的真挚，文字上可以说毫不讲究，大段的口语。对于细节的描述可以说几乎没有，对于情感的表达基本靠直述，她很难过，她很开心。实在佩服这本书的营销，是不是只要女性的故事，披上女性主义的外衣，故事是糟糕的男性与互助的女性，就拥有了无比的正确性，可以正确到无视语言，无视情节，无视结构的无理由的好。,user-stars,,0
明亮的夜晚,36457094,我哭了好久好久。想说的话其实很多，或者用一句话说完也可以——这就是为什么我们需要女性作家。,user-stars,,0
明亮的夜晚,36457094,周日的下午+晚上，一口气读完了，途中几度想哭。想起高中的时候，有一小段时间姥姥来我家住，每天6点半下课后就骑车回家吃姥姥准备的饭，昏黄的灯光下她看着我吃，有一搭没一搭说几句，然后再骑车回去上7点半开始的晚自习。晚上骑车很爽，有时候我还会边骑边哼歌。刚开始工作的时候，我还想自己住，让姥姥也来，下班可以一起吃饭，但是又想我绝大多数时间在上班，她一个人在北京会不会很无聊。想法终究只停留在脑子里，再后来她就走了。今天读这本书，又勾起了很多回忆，是明亮的记忆，但是也是深沉夜色底色的记忆。我想我姥姥，想我妈妈了,user-stars,,0
明亮的夜晚,36457094,太寡淡了，这样的土壤里生长出来的文学大概都这样,user-stars,,0
明亮的夜晚,36457094,真挚温柔的文字，悲伤无奈的底色，读得我几次落泪。女性真好啊，女性也真难啊。希望暗夜之后会有光明，如果没有，那就成为自己的炬火。,user-stars,,0
妇女一直在工作,37305158,2022年底在豆瓣上和queenie老师联系，很快又和作者Alice取得了出版权。如果说互联网公司是小步快跑的工作方式，出版的时间跨度则动辄以几年为单位。应该说在这本书上投入特别多，也得到了好几位老师极大的帮助。这本书是自己倾尽力气的一本，是我作为读者读完也想推荐的书。诚如译者蔡萌老师在导读中写道：“本书尤为可贵之处在于，它摒弃了当下常见的情绪化表达，通过历史事实的呈现而非价值立场的宣示，为理解当代女性劳动议题提供了更为丰富的思考维度。”希望也能启发到大家～,user-stars,,0
妇女一直在工作,37305158,终于（即将）上市了,,,0
妇女一直在工作,37305158,非常好地紧扣“工作”这个主题回顾了美国女性从“家庭劳作”到“从事工资工作”的历程，同时也帮助我们重新理清了「工作」的概念和意义。当我们今天普遍厌恶上班的时候，往往会忘记“工作”这件事本身的另一种可能和意义，其实工作原本是创造价值、实现自我理想甚至推动社会进步，或者简单而言是让我们过上更好生活的。因此这本书的标题「妇女一直在工作」，不仅仅是在说女性始终在以她们可见和不可见、主动或被动的方式参与工作，也是在回顾女性争取工作权利的过程中表达，我们希望真正有意义、公平、有益于个人、家庭和社会发展的工作，并希望能持续地从事这样的工作，创造更大的价值。（但，真的，当下的疲惫的确已经让打工人有点无暇顾及这些美好的愿望了，甚至在很多人心里应该想的是，我现在工作不是为了持续工作，而是为了不工作…,user-stars,,0
妇女一直在工作,37305158,3.5 原来豆瓣4.5是因为只有12个人评价）很马克思女性主义的一本，读来像是女性主义教材的扩展阅读，但中规中矩，当最开始入门还行，但对这套叙事已经乏味了之后感觉有些旧瓶装新酒了。或许可以去回答一些问题，比如家务劳动分工，比如女性收入，虽然老生常谈，但是批评容易建设难不是吗,user-stars,,0
妇女一直在工作,37305158,作者通过梳理美国女性劳动的历史生动阐述了父权制-资本主义政经体系如何系统性地将女性置于二等劳动者的位置。2018修订版增添的最后一章分析了女性劳动的最新发展和新一波女性主义运动的背景。一个让人难过（也是被许多社会学家反复验证）的事实是，社会不平等会陷入一个恶性循环——越是不平等，越是会加剧人们对最贫困人口的反感，给予政府更多的理由削减社会福利支出，而这对妇女造成的负面冲击是更大的。一个令人惊讶的细节：希拉里·克林顿在2016年总统大选期间将关怀问题提上议程，她主张联邦政府确保同工同酬、带薪家庭休假、扩大医疗保健、为贫困家庭提供更多补贴。这些本应惠及大众的主张没能帮助她赢得大选，而且它们还淹没在了选举骂战和泼脏水之中。,user-stars,,0
妇女一直在工作,37305158,减掉的一颗星因为翻译实在有点糟糕，尽管这本书的意义很大，但是在这个gpt已经足够发达的时代，翻译不再只是逐字逐句对应了，要帮助读者跨越不同语言写作（也许是背后的思维顺序）差异，将原作的意思清楚准确传达给本国读者，在这个意义上，这个翻译实在不会让我觉得做到了这点。举例来说，consumer sales soared这个短句翻译成消费者的销售额增加实在是不妥，销售额是站在seller角度说的，不应该和消费者这个buyer有从属关系，这种小瑕疵太多虽然不影响信息传递，但每次遇到都会让原本流畅的阅读中断，很难受。,user-stars,,0
