电影名,导演,上映年份,类型,评分,评语,豆瓣链接,来源豆列
被误解的女性 Miss Representation,,2011,,9.3,,https://movie.douban.com/subject/5973966/,女性电影TOP300 (ID: 161498552)
真心半解 The Half of It,,2020,,8.1,,https://movie.douban.com/subject/33420285/,女性电影TOP300 (ID: 161498552)
"我，花样女王 I, Tonya",,2017,,7.9,,https://movie.douban.com/subject/26756049/,女性电影TOP300 (ID: 161498552)
伊莉莎与玛瑟拉 Elisa y Marcela,,2019,,8.5,,https://movie.douban.com/subject/30251948/,女性电影TOP300 (ID: 161498552)
猎杀本·拉登 Zero Dark Thirty,,2012,,7.7,,https://movie.douban.com/subject/6430835/,女性电影TOP300 (ID: 161498552)
一代宗师 一代宗師,,2013,,8.2,,https://movie.douban.com/subject/3821067/,女性电影TOP300 (ID: 161498552)
奇怪的她 수상한 그녀,,2014,,8.3,,https://movie.douban.com/subject/24879820/,女性电影TOP300 (ID: 161498552)
孤味,,2020,,8.0,,https://movie.douban.com/subject/34805873/,女性电影TOP300 (ID: 161498552)
伯德小姐 Lady Bird,,2017,,7.9,,https://movie.douban.com/subject/26588314/,女性电影TOP300 (ID: 161498552)
自闭历程 Temple Grandin,,2010,,8.9,,https://movie.douban.com/subject/3236904/,女性电影TOP300 (ID: 161498552)
假小子 Tomboy,,2011,,8.0,,https://movie.douban.com/subject/6006087/,女性电影TOP300 (ID: 161498552)
黑天鹅 Black Swan,,2010,,8.6,,https://movie.douban.com/subject/1978709/,女性电影TOP300 (ID: 161498552)
乐土 Joyland,,2022,,8.6,,https://movie.douban.com/subject/35870056/,女性电影TOP300 (ID: 161498552)
我们俩,,2005,,8.8,,https://movie.douban.com/subject/1756073/,女性电影TOP300 (ID: 161498552)
相爱相亲,,2017,,8.3,,https://movie.douban.com/subject/26773744/,女性电影TOP300 (ID: 161498552)
将来的事 L'avenir,,2016,,8.2,,https://movie.douban.com/subject/26215216/,女性电影TOP300 (ID: 161498552)
珍爱 Precious,,2009,,8.1,,https://movie.douban.com/subject/3011072/,女性电影TOP300 (ID: 161498552)
代孕者 House of Surrogates,,2013,,8.3,,https://movie.douban.com/subject/26966750/,女性电影TOP300 (ID: 161498552)
我们在这里,,2015,,9.2,,https://movie.douban.com/subject/26615698/,女性电影TOP300 (ID: 161498552)
一名母亲的三重死亡 Las tres muertes de Marisela Escobedo,,2020,,8.2,,https://movie.douban.com/subject/35224988/,女性电影TOP300 (ID: 161498552)
吹哨人：美国体操队性侵丑闻追踪 Athlete A,,2020,,8.5,,https://movie.douban.com/subject/34994827/,女性电影TOP300 (ID: 161498552)
千寻小姐 ちひろさん,,2023,,7.8,,https://movie.douban.com/subject/35791966/,女性电影TOP300 (ID: 161498552)
炙热 Parched,,2015,,8.3,,https://movie.douban.com/subject/25822430/,女性电影TOP300 (ID: 161498552)
黑皮书 Zwartboek,,2006,,8.4,,https://movie.douban.com/subject/1858802/,女性电影TOP300 (ID: 161498552)
重返·狼群,,2017,,8.3,,https://movie.douban.com/subject/26920269/,女性电影TOP300 (ID: 161498552)
送我上青云,,2019,,7.0,,https://movie.douban.com/subject/27180759/,女性电影TOP300 (ID: 161498552)
我仍在此 Ainda estou aqui,,2024,,7.9,,https://movie.douban.com/subject/35512487/,女性电影TOP300 (ID: 161498552)
柯莱特 Colette,,2018,,7.6,,https://movie.douban.com/subject/26721646/,女性电影TOP300 (ID: 161498552)
亲切的金子 친절한 금자씨,,2005,,7.6,,https://movie.douban.com/subject/1412579/,女性电影TOP300 (ID: 161498552)
玫瑰人生 La Môme,,2007,,8.3,,https://movie.douban.com/subject/1898223/,女性电影TOP300 (ID: 161498552)
推翻罗诉韦德案 Reversing Roe,,2018,,8.7,,https://movie.douban.com/subject/30325822/,女性电影TOP300 (ID: 161498552)
世界上最糟糕的人 Verdens verste menneske,,2021,,7.9,,https://movie.douban.com/subject/34447553/,女性电影TOP300 (ID: 161498552)
被投石处死的索拉雅·M The Stoning of Soraya M.,,2008,,8.3,,https://movie.douban.com/subject/3263472/,女性电影TOP300 (ID: 161498552)
早间主播 Morning Glory,,2010,,7.6,,https://movie.douban.com/subject/3392569/,女性电影TOP300 (ID: 161498552)
摇摇晃晃的人间,,2016,,7.9,,https://movie.douban.com/subject/26324232/,女性电影TOP300 (ID: 161498552)
迷雾中的孩子 Những đứa trẻ trong sương,,2021,,8.7,,https://movie.douban.com/subject/35652404/,女性电影TOP300 (ID: 161498552)
阿黛尔的生活 La Vie d'Adèle,,2013,,8.4,,https://movie.douban.com/subject/10535568/,女性电影TOP300 (ID: 161498552)
换子疑云 Changeling,,2008,,8.4,,https://movie.douban.com/subject/2028666/,女性电影TOP300 (ID: 161498552)
桃姐,,2011,,8.4,,https://movie.douban.com/subject/5977835/,女性电影TOP300 (ID: 161498552)
密阳 밀양,,2007,,8.0,,https://movie.douban.com/subject/1853770/,女性电影TOP300 (ID: 161498552)
性的代价 The Price of Sex,,2011,,8.7,,https://movie.douban.com/subject/6558328/,女性电影TOP300 (ID: 161498552)
奥勒法的女儿们 Les filles d'Olfa,,2023,,7.8,,https://movie.douban.com/subject/35242813/,女性电影TOP300 (ID: 161498552)
戴安娜：她的自述 Diana: In Her Own Words,,2017,,8.8,,https://movie.douban.com/subject/27108853/,女性电影TOP300 (ID: 161498552)
陷害布兰妮 Framing Britney Spears,,2021,,8.0,,https://movie.douban.com/subject/35357251/,女性电影TOP300 (ID: 161498552)
大自然的女王 Queens,,2024,,9.6,,https://movie.douban.com/subject/36631684/,女性电影TOP300 (ID: 161498552)
茉莉牌局 Molly's Game,,2017,,7.2,,https://movie.douban.com/subject/26704137/,女性电影TOP300 (ID: 161498552)
风声,,2009,,8.5,,https://movie.douban.com/subject/3734112/,女性电影TOP300 (ID: 161498552)
隔壁房间 The Room Next Door,,2024,,7.8,,https://movie.douban.com/subject/36687720/,女性电影TOP300 (ID: 161498552)
女子宿舍,,2010,,9.4,,https://movie.douban.com/subject/5353116/,女性电影TOP300 (ID: 161498552)
福尔摩斯小姐：失踪的侯爵 Enola Holmes,,2020,,6.0,,https://movie.douban.com/subject/27662541/,女性电影TOP300 (ID: 161498552)
从今以后 從今以後,,2024,,8.1,,https://movie.douban.com/subject/35618436/,女性电影TOP300 (ID: 161498552)
花落花开 Séraphine,,2008,,8.5,,https://movie.douban.com/subject/3173635/,女性电影TOP300 (ID: 161498552)
